,Unnamed: 0,sample,z,log_l,log_flux
20470,20470,37,0.198903244501236,43.90534243333198,36.82895323770984
20471,20471,37,0.1308983991695023,43.687293555860855,37.01052174962846
20472,20472,37,0.1342266129293461,43.53421434392194,36.83378199601336
20473,20473,37,0.1629883407942648,43.03403691886571,36.14931585103517
20474,20474,37,0.1257322166169089,43.020686987591965,36.38178246103912
20475,20475,37,0.1640315122712308,43.07052673101394,36.1797080368083
20476,20476,37,0.1545436193140641,43.414064962458255,36.58008630021109
20477,20477,37,0.14699304481412,43.368675196127526,36.58230175179826
20478,20478,37,0.188123805905921,44.10915138411112,37.086674471661304
20479,20479,37,0.1885212045638128,43.54756427519568,36.52304967028978
20480,20480,37,0.1987045451722901,43.17287620411263,36.09745609197315
20481,20481,37,0.1354684837352579,43.08832663937893,36.37920618482967
20482,20482,37,0.1924455163104943,43.81456290067053,36.77013670804761
20483,20483,37,0.1669126525409464,43.29925555350407,36.39178108544721
20484,20484,37,0.1712840377777561,43.495054545518954,36.562812181694
20485,20485,37,0.1929919394650955,43.39715504951151,36.34998619573325
20486,20486,37,0.1959227545670475,43.0571767997402,35.99541870679303
20487,20487,37,0.1815170532184699,43.02958694177446,36.04158363473663
20488,20488,37,0.1494271115937073,43.232505897135354,36.43054192305882
20489,20489,37,0.162789641465319,43.220935956698106,36.3373804521602
20490,20490,37,0.1731220065705057,43.520864412648194,36.57838305237084
20491,20491,37,0.1885212045638128,43.47013467380797,36.44562006890207
20492,20492,37,0.1764502203303495,44.260450605213535,37.29968229826799
20493,20493,37,0.1512154055542204,43.835032795290275,37.021764698194275
20494,20494,37,0.1562822384423408,43.331295388561045,36.48666237015409
20495,20495,37,0.1100349696301829,43.334855370234045,36.820698432836295
20496,20496,37,0.1947305585933721,43.520864412648194,36.465016423106
20497,20497,37,0.1165423726531611,43.0607367814132,36.49295359785212
20498,20498,37,0.1703402159652631,44.77130797528876,37.84436315432437
20499,20499,37,0.1914023448335283,43.35176528318079,36.31259513550143
20500,20500,37,0.1565802874357596,43.98099204388319,37.13454365062071
20501,20501,37,0.1866335609388268,44.248880664776294,37.23408074016045
20502,20502,37,0.1868819351000091,43.414064962458255,36.39798160955062
20503,20503,37,0.111723913926223,43.0553968089037,36.52704027769598
20504,20504,37,0.1557358152877395,43.40516500827576,36.56386856216504
20505,20505,37,0.1788842871099367,43.43097487540499,36.45703388781243
20506,20506,37,0.156729311932469,43.6935235237886,36.84616864874466
20507,20507,37,0.167508750527784,43.02513696468321,36.11424984070092
20508,20508,37,0.1715324119389385,43.30459552601357,36.37096357421772
20509,20509,37,0.1260799404425642,44.02638181021392,37.38488314503184
20510,20510,37,0.1557358152877395,44.49807938188616,37.65678293577544
20511,20511,37,0.1059119585545555,43.10612654774392,36.62751569801358
20512,20512,37,0.1258315662813818,43.86618263492901,37.2265362399314
20513,20513,37,0.1647269599225415,43.07942668519644,36.1845628936105
20514,20514,37,0.1698434676428983,43.79587299688729,36.87172730738301
20515,20515,37,0.1253348179590171,43.16130626367539,36.52537472019108
20516,20516,37,0.1835537213401653,44.19904092135432,37.200288227679835
20517,20517,37,0.1519605280377675,43.54845427061393,36.730512849828386
20518,20518,37,0.1945318592644262,43.24941581008209,36.1945560879312
20519,20519,37,0.1534010981726253,43.16397624993014,36.33705995250797
20520,20520,37,0.1258812411136183,43.133716405709656,36.49369928249732
20521,20521,37,0.1837027458368748,43.52976436683069,36.53022947550067
20522,20522,37,0.1693963941527701,43.93560227755247,37.01398231061632
20523,20523,37,0.1533017485081523,43.63567382160238,36.80937395564392
20524,20524,37,0.1502219089094909,43.78252306561355,36.97551955725111
20525,20525,37,0.1259805907780913,43.67928359709661,37.0385254289351
20526,20526,37,0.1486819891101602,44.34500016994724,37.547783503690844
20527,20527,37,0.1061106578835014,43.64012379869363,37.15977017630988
20528,20528,37,0.1638824877745214,43.118586483599415,36.2286366688176
20529,20529,37,0.1929919394650955,43.69797350087985,36.65080464710159
20530,20530,37,0.1862858371131714,43.19245610331412,36.17945563643503
20531,20531,37,0.105961633386792,44.59597887789361,38.11693204582458
20532,20532,37,0.191998442820366,43.232505897135354,36.19032906115217
20533,20533,37,0.1594614277054752,43.171986208694385,36.3081530771846
20534,20534,37,0.131395147491867,43.1363863919644,36.45604764685615
20535,20535,37,0.183305347178983,43.501284513446706,36.503836790166474
20536,20536,37,0.1468440203174106,43.058066795158446,36.27265567627319
20537,20537,37,0.1390947464885206,44.16433110004259,37.43026114586775
20538,20538,37,0.1274708357451855,43.17287620411263,36.521067639432715
20539,20539,37,0.1625412673041366,43.17376619953088,36.29166950998329
20540,20540,37,0.1173868448011812,43.02335697384672,36.44882238332623
20541,20541,37,0.1856400642940973,43.14083636905565,36.13118601560902
20542,20542,37,0.1611006971692788,43.26543572761058,36.39184125058358
20543,20543,37,0.1589646793831104,43.22716592462585,36.36630920445389
20544,20544,37,0.1004974018407798,43.15863627742064,36.728745299061195
20545,20545,37,0.1878257569125022,43.020686987591965,35.999740959813835
20546,20546,37,0.1630876904587378,43.17732618120388,36.29202282687194
20547,20547,37,0.1583189065640362,43.67394362458711,36.81696919995716
20548,20548,37,0.1839511199980571,43.28145564513907,36.280618395690816
20549,20549,37,0.1122703370808243,43.17109621327614,36.638188980060136
20550,20550,37,0.1513147552186933,43.17999616745863,36.36610372249665
20551,20551,37,0.1700421669718442,43.38647510449252,36.46120885179235
20552,20552,37,0.1602065501890223,43.17821617662213,36.3099345576485
20553,20553,37,0.1302029515181916,43.46835468297147,36.79659795005493
20554,20554,37,0.1443106038733504,44.46781953766568,37.698908892768635
20555,20555,37,0.1444099535378233,43.02157698301021,36.252014186661015
20556,20556,37,0.1989529193334724,43.092776616470175,36.01614528972417
20557,20557,37,0.1471917441430659,43.09900658439793,36.31135145399245
20558,20558,37,0.1332331162846166,43.28857560848507,36.5951480731053
20559,20559,37,0.188123805905921,43.02157698301021,35.999100070560395
